year,age_group,region,gender,have_tried_marijuana,education_level,income
1995,12-17,North,Male,False,High School,Medium
1995,12-17,North,Male,True,PhD,Medium
1995,12-17,North,Male,False,Bachelor,Medium
1995,12-17,North,Male,False,Bachelor,Medium
1995,12-17,North,Male,False,PhD,Medium
1995,12-17,North,Male,True,High School,High
1995,12-17,North,Male,False,Bachelor,Medium
1995,12-17,North,Male,False,PhD,Medium
1995,12-17,North,Male,True,Bachelor,Medium
1995,12-17,North,Male,False,PhD,Medium
1995,12-17,North,Male,True,Master,High
1995,12-17,North,Male,False,PhD,Medium
1995,12-17,North,Male,False,Master,Low
1995,12-17,North,Male,True,Bachelor,Low
1995,12-17,North,Male,False,PhD,Low
1995,12-17,North,Male,False,Bachelor,High
1995,12-17,North,Male,False,High School,Medium
1995,12-17,North,Male,True,High School,Low
1995,12-17,North,Male,True,High School,Low
1995,12-17,North,Male,False,Master,Low
1995,12-17,North,Male,False,High School,Low
1995,12-17,North,Male,True,Master,Low
1995,12-17,North,Male,False,PhD,Low
1995,12-17,North,Male,True,PhD,High
1995,12-17,North,Male,True,Master,High
1995,12-17,North,Male,False,High School,High
1995,12-17,North,Male,False,Master,Low
1995,12-17,North,Male,False,Master,Low
1995,12-17,North,Male,False,Bachelor,High
1995,12-17,North,Male,False,Bachelor,Low
1995,12-17,North,Male,False,PhD,High
1995,12-17,North,Male,False,High School,Medium
1995,12-17,North,Male,True,High School,High
1995,12-17,North,Male,False,Master,Medium
1995,12-17,North,Male,False,PhD,Low
1995,12-17,North,Male,False,Master,Medium
1995,12-17,North,Male,True,Master,High
1995,12-17,North,Male,True,High School,High
1995,12-17,North,Male,True,High School,High
1995,12-17,North,Male,False,Bachelor,High
1995,12-17,North,Male,False,High School,Low
1995,12-17,North,Male,False,Bachelor,High
1995,12-17,North,Male,True,Master,Medium
1995,12-17,North,Female,True,Bachelor,Low
1995,12-17,North,Female,False,Bachelor,Medium
1995,12-17,North,Female,True,Master,Medium
1995,12-17,North,Female,False,Master,Low
1995,12-17,North,Female,True,High School,Low
1995,12-17,North,Female,False,PhD,Low
1995,12-17,North,Female,False,Master,Low
1995,12-17,North,Female,False,Bachelor,Medium
1995,12-17,North,Female,False,PhD,Medium
1995,12-17,North,Female,True,Master,Low
1995,12-17,North,Female,False,PhD,Low
1995,12-17,North,Female,False,High School,High
1995,12-17,North,Female,True,Bachelor,Medium
1995,12-17,North,Female,False,High School,Medium
1995,12-17,North,Female,False,PhD,Medium
1995,12-17,North,Female,False,PhD,High
1995,12-17,North,Female,False,PhD,High
1995,12-17,North,Female,False,Master,High
1995,12-17,North,Female,True,High School,High
1995,12-17,North,Female,True,Bachelor,Low
1995,12-17,North,Female,False,PhD,Medium
1995,12-17,North,Female,True,Bachelor,Medium
1995,12-17,North,Female,False,Master,High
1995,12-17,North,Female,False,PhD,Low
1995,12-17,North,Female,False,High School,High
1995,12-17,North,Female,True,Bachelor,Low
1995,12-17,North,Female,False,Master,High
1995,12-17,North,Female,False,PhD,High
1995,12-17,North,Female,True,Bachelor,High
1995,12-17,North,Female,False,Master,High
1995,12-17,North,Female,True,PhD,High
1995,12-17,North,Female,False,PhD,Low
1995,12-17,North,Female,False,High School,High
1995,12-17,North,Female,True,Bachelor,Low
1995,12-17,North,Female,False,Master,Low
1995,12-17,North,Female,False,High School,Medium
1995,12-17,North,Female,False,Master,High
1995,12-17,North,Female,True,Bachelor,Medium
1995,12-17,North,Female,True,Master,High
1995,12-17,North,Female,True,PhD,Medium
1995,12-17,North,Female,True,PhD,Low
1995,12-17,North,Female,False,PhD,Low
1995,12-17,North,Female,False,Bachelor,Low
1995,12-17,South,Male,False,Bachelor,High
1995,12-17,South,Male,False,PhD,Low
1995,12-17,South,Male,False,High School,Low
1995,12-17,South,Male,True,High School,Medium
1995,12-17,South,Male,True,High School,High
1995,12-17,South,Male,False,Master,Low
1995,12-17,South,Male,False,PhD,High
1995,12-17,South,Male,False,High School,Low
1995,12-17,South,Male,False,PhD,High
1995,12-17,South,Male,False,High School,High
1995,12-17,South,Male,False,PhD,Medium
1995,12-17,South,Male,False,High School,Medium
1995,12-17,South,Male,False,Master,Medium
1995,12-17,South,Male,False,Bachelor,High
1995,12-17,South,Male,False,PhD,Medium
1995,12-17,South,Male,False,PhD,Medium
1995,12-17,South,Male,False,PhD,High
1995,12-17,South,Male,False,Bachelor,High
1995,12-17,South,Male,True,Bachelor,High
1995,12-17,South,Male,False,Master,Medium
1995,12-17,South,Male,False,Bachelor,Medium
1995,12-17,South,Male,False,High School,Low
1995,12-17,South,Male,False,High School,High
1995,12-17,South,Male,True,Bachelor,High
1995,12-17,South,Male,True,High School,Medium
1995,12-17,South,Male,False,Master,Medium
1995,12-17,South,Male,True,Master,Medium
1995,12-17,South,Male,False,High School,Low
1995,12-17,South,Male,False,PhD,Medium
1995,12-17,South,Male,False,Master,Low
1995,12-17,South,Male,False,PhD,Low
1995,12-17,South,Male,False,PhD,Low
1995,12-17,South,Male,False,PhD,Medium
1995,12-17,South,Male,False,PhD,Medium
1995,12-17,South,Male,True,PhD,High
1995,12-17,South,Male,False,Master,High
1995,12-17,South,Male,False,PhD,Medium
1995,12-17,South,Male,False,Bachelor,High
1995,12-17,South,Male,False,Master,Medium
1995,12-17,South,Male,False,Master,Low
1995,12-17,South,Male,False,Bachelor,High
1995,12-17,South,Male,False,Bachelor,Low
1995,12-17,South,Male,False,Bachelor,Medium
1995,12-17,South,Male,False,Bachelor,Medium
1995,12-17,South,Male,True,High School,Medium
1995,12-17,South,Male,False,Bachelor,High
1995,12-17,South,Male,False,Bachelor,High
1995,12-17,South,Male,False,PhD,Low
1995,12-17,South,Male,True,High School,Low
1995,12-17,South,Male,False,PhD,Low
1995,12-17,South,Male,False,Master,Medium
1995,12-17,South,Male,True,High School,Medium
1995,12-17,South,Female,False,PhD,High
1995,12-17,South,Female,True,Bachelor,Low
1995,12-17,South,Female,True,PhD,High
1995,12-17,South,Female,False,PhD,Medium
1995,12-17,South,Female,False,Master,Low
1995,12-17,South,Female,True,High School,Low
1995,12-17,South,Female,False,Master,High
1995,12-17,South,Female,False,High School,High
1995,12-17,South,Female,False,High School,Low
1995,12-17,South,Female,True,PhD,Medium
1995,12-17,South,Female,True,Master,Low
1995,12-17,South,Female,True,High School,High
1995,12-17,South,Female,False,Bachelor,Medium
1995,12-17,South,Female,False,High School,High
1995,12-17,South,Female,True,Bachelor,High
1995,12-17,South,Female,False,Master,Low
1995,12-17,South,Female,False,Bachelor,Low
1995,12-17,South,Female,True,Bachelor,Medium
1995,12-17,South,Female,True,Bachelor,Medium
1995,12-17,South,Female,True,Bachelor,High
1995,12-17,South,Female,False,High School,High
1995,12-17,South,Female,False,PhD,Medium
1995,12-17,South,Female,False,High School,Medium
1995,12-17,South,Female,False,High School,High
1995,12-17,South,Female,False,High School,Low
1995,12-17,South,Female,False,High School,Low
1995,12-17,South,Female,True,High School,Medium
1995,12-17,South,Female,False,High School,Low
1995,12-17,South,Female,True,PhD,High
1995,12-17,South,Female,True,High School,High
1995,12-17,South,Female,False,PhD,Medium
1995,12-17,South,Female,True,High School,High
1995,12-17,South,Female,True,PhD,High
1995,12-17,South,Female,False,Bachelor,Low
1995,12-17,South,Female,False,PhD,Low
1995,12-17,South,Female,True,Master,Low
1995,12-17,South,Female,True,Master,Low
1995,12-17,South,Female,False,Master,Low
1995,12-17,South,Female,False,Bachelor,Low
1995,12-17,South,Female,False,High School,Medium
1995,12-17,South,Female,False,PhD,Low
1995,12-17,South,Female,False,Bachelor,Low
1995,12-17,South,Female,True,Master,High
1995,12-17,South,Female,False,High School,Low
1995,12-17,South,Female,False,High School,High
1995,12-17,South,Female,True,PhD,Low
1995,12-17,South,Female,True,Master,Medium
1995,12-17,South,Female,False,Master,High
1995,12-17,South,Female,False,Bachelor,High
1995,12-17,South,Female,False,PhD,Low
1995,12-17,South,Female,False,High School,High
1995,12-17,East,Male,False,High School,Medium
1995,12-17,East,Male,False,Master,Medium
1995,12-17,East,Male,False,High School,Medium
1995,12-17,East,Male,False,High School,Medium
1995,12-17,East,Male,False,Master,Medium
1995,12-17,East,Male,True,Bachelor,Low
1995,12-17,East,Male,False,High School,Low
1995,12-17,East,Male,True,Bachelor,High
1995,12-17,East,Male,False,PhD,Low
1995,12-17,East,Male,False,High School,Medium
